zdroj,ID,titul_verbatim,normed,gpt_ais,obal,formát,typ materiálu,zvuk / sound (on box),zvukař_cleaned,díl,ozvučen dne,středisko,úsek,aparatura,materiál,číslo krabice,obsah_verbatim,recording_technical_cs,recording_secondary_cs,recording_tertiary_cs,recording_content_cs,recording_has_multiple_content,recording_language
NFA,p-101890,Něžný barbar,Něžný barbar,Něžný barbar,paper box,35 mm,ORWO 205 LN,Jiri Moudry,,3; 4,19.6.1990,-,č.f. 18009,Evropa,-,13,Mezinár pás - ruchy,mezinárodní pás,,,ruchy,no,
NFA,p-101894,Něžný barbar,Něžný barbar,Něžný barbar,metal box,35 mm,ORWO 205 LN,Jiri Moudry,,7; 8,19.6.1990,-,č.f. 18009,Evropa,-,13,Mezinár pás - hudba,mezinárodní pás,,,hudba,no,
NFA,p-101895,Něžný barbar,Něžný barbar,Něžný barbar,metal box,35 mm,ORWO PC 7,Jiri Moudry,,6,19.6.1990,-,č.f. 18009,Evropa,-,13,Mezinár pás - hudba,mezinárodní pás,,,hudba,no,
NFA,p-101824,Něžný barbar,Něžný barbar,Něžný barbar,metal box,35 mm,ORWO 205 LN,-,,5; 6,6.12.2023,-,-,Evropa,-,-,Mezinár pás - ruchy,mezinárodní pás,,,ruchy,no,
NFA,p-101891,Něžný barbar,Něžný barbar,Něžný barbar,paper box,35 mm,ORWO 205 LN,Jiri Moudry,,9,19.6.1990,-,č.f. 18009,Evropa,-,13,Mezinár pás - ruchy,mezinárodní pás,,,ruchy,no,
MWA,P202852,Něžný barbar,Něžný barbar,Něžný barbar,metal can,35 mm,ORWO 205 LN,,#N/A,7;8,7./8.12.,,,Evropa,,,mix,mix,,,,no,
NFA,p-101888,Něžný barbar,Něžný barbar,Něžný barbar,paper box,35 mm,ORWO 205 LN,Jiri Moudry,,1; 2,19.6.1990,-,č.f. 18009,Evropa,-,13,Mezinár pás - ruchy,mezinárodní pás,,,ruchy,no,
MWA,P202853,Něžný barbar,Něžný barbar,Něžný barbar,metal can,35 mm,ORWO 205 LN,,#N/A,5;6,6.12.,,,Evropa,,,mix,mix,,,,no,
NFA,p-101896,Něžný barbar,Něžný barbar,Něžný barbar,metal box,35 mm,ORWO 205 LN,Jiri Moudry,,,19.6.1990,-,č.f. 18009,Evropa,-,13,Mezinár pás - hudba,mezinárodní pás,,,hudba,no,
NFA,p-101889,Něžný barbar,Něžný barbar,Něžný barbar,paper box,35 mm,ORWO 205 LN,Jiri Moudry,,3; 4,19.6.1990,-,č.f. 18009,Evropa,-,13,Mezinár pás - hudba,mezinárodní pás,,,hudba,no,
NFA,p-101887,Něžný barbar,Něžný barbar,Něžný barbar,paper box,35 mm,ORWO 205 LN,Jiri Moudry,,1; 2,19.6.1990,-,č.f. 18009,Evropa,-,13,Mezinár pás - hudba,mezinárodní pás,,,hudba,no,
NFA,p-101892,Něžný barbar,Něžný barbar,Něžný barbar,paper box,35 mm,ORWO 205 LN,Jiri Moudry,,ukázky,19.6.1990,-,č.f. 18009,Evropa,-,13,Mezinár pás - hudba,mezinárodní pás,,,hudba,no,
MWA,P203478,Něžný barbar,Něžný barbar,Něžný barbar,paper box,35 mm,ORWO 205LN,,#N/A,3;4,"5.12., 6.12.",,,Evropa,,,mix,mix,,,,no,
MWA,P203473,Něžný barbar,Něžný barbar,Něžný barbar,paper box,35 mm,ORWO 205LN,,#N/A,9,8.12.,,,Evropa,,,mix,mix,,,,no,
NFA,p-101923,Něžný barbar,Něžný barbar,Něžný barbar,metal box,35 mm,ORWO 205 LN,-,,,5.12.2023,-,-,Evropa,-,-,Mezinár pás - hudba,mezinárodní pás,,,hudba,no,
NFA,p-100950,O hloupém peciválovi,O hloupém peciválovi,O hloupém peciválovi,metal box,35 mm,MB - ORWO (35 mm),Ing. Děták,Jaroslav Děták,1; 2,18.01.1990,3242,č.f. 429502,-,-,-,mix anglicky,mix,,,,no,en
NFA,p-100833,O hloupém peciválovi,O hloupém peciválovi,O hloupém peciválovi,paper box,35 mm,ORWO 205 LN,-,,1; 2,6.5.,-,-,Evropa,-,-,mix,mix,,,,no,
NFA,p-100018,O hloupém peciválovi,O hloupém peciválovi,O hloupém peciválovi,paper box,35 mm,ORWO 205 LN,-,,1; 2,06.05.89,3242,-,-,-,-,mezinárodní pás (mezmix),mezinárodní pás,,,,no,
