zdroj,ID,titul_verbatim,normed,gpt_ais,obal,formát,typ materiálu,zvuk / sound (on box),zvukař_cleaned,díl,ozvučen dne,středisko,úsek,aparatura,materiál,číslo krabice,obsah_verbatim,recording_technical_cs,recording_secondary_cs,recording_tertiary_cs,recording_content_cs,recording_has_multiple_content,recording_language
NFA,p-101358,1000 + 1 noc,Tisíc a jedna noc,Tisíc a jedna noc,paper box,35 mm,ORWO 207 LN,ing. Kacian,Jan Kacian,2,10.12.1991,-,-,-,-,-,mix,mix,,,,no,
MWA,P200011,1000 + 1 NOC IX,Tisíc a jedna noc,Tisíc a jedna noc,metal can,35 mm,-,-,,1;2,-,-,-,-,-,-,přepis mix,mix,přepis,,,no,
MWA,P200010,1000 + 1 NOC VIII ODMĚNA,Tisíc a jedna noc,Tisíc a jedna noc,metal can,35 mm,-,-,,,-,-,-,-,-,-,přepis mix,mix,přepis,,,no,
NFA,p-101318,1000 + 1 noc xiii,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - ORWO (35 mm),-,,1,-,-,-,-,-,-,mix přepis,mix,přepis,,,no,
NFA,p-100812,1000 a 1 noc,Tisíc a jedna noc,Tisíc a jedna noc,paper box,35 mm,ORWO 207 LN,Kacian,Jan Kacian,1,10.12.1991,-,-,-,-,-,mix,mix,,,,no,
NFA,p-100962,1000 a 1 noc ii,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Pyral (35 mm),Ing. Kacian,Jan Kacian,2,19.2.92,59,1701,-,-,-,mix,mix,,,,no,
NFA,p-100985,1000 a 1 noc ii,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Pyral (35 mm),Ing. Kacian,Jan Kacian,1,19.2.92,59,1701,-,-,-,mix,mix,,,,no,
NFA,p-101474,1000 a 1 noc iii,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Pyral (35 mm),Ing. Kacian,Jan Kacian,1,19.2.92,59,1701,-,-,-,mix,mix,,,,no,
NFA,p-101210,1000 a 1 noc iii,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Pyral (35 mm),Ing. Kacian,Jan Kacian,2,19.2.1991,59,1701,-,-,-,mix,mix,,,,no,
NFA,p-101047,1000 a 1 noc iii,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Kodak (35 mm),-,,1; 2,-,-,-,-,-,-,mix přepis,mix,přepis,,,no,
NFA,p-100986,1000 a 1 noc iv,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Pyral (35 mm),Ing. Kacian,Jan Kacian,1,6.5.92,59,1702,-,-,-,mix,mix,,,,no,
NFA,p-101280,1000 a 1 noc iv,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Pyral (35 mm),Ing. Kacian,Jan Kacian,2,6.5.1992,59,1702,-,-,-,mix,mix,,,,no,
NFA,p-100601,1000 a 1 noc ix,Tisíc a jedna noc,Tisíc a jedna noc,paper box,35 mm,ORWO 207 LN,ing. Kacian,Jan Kacian,2,10.12.1992,59,-,-,-,-,mix orig,mix,originál,,,no,
NFA,p-100034,1000 a 1 noc ix,Tisíc a jedna noc,Tisíc a jedna noc,paper box,35 mm,ORWO 207 LN,ing. Kacian,Jan Kacian,1,10.12.1992,59,-,-,-,-,mix,mix,,,,no,
NFA,p-101042,1000 a 1 noc ix,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Kodak (35 mm),-,,1; 2,-,-,-,-,-,-,mix přepis,mix,přepis,,,no,
NFA,p-100913,1000 a 1 noc v,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Pyral (35 mm),Ing. Kacian,Jan Kacian,2,6.5.92,59,1702,-,-,-,mix,mix,,,,no,
NFA,p-101046,1000 a 1 noc v,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Kodak (35 mm),-,,1; 2,-,-,-,-,-,-,mix přepis,mix,přepis,,,no,
NFA,p-101207,1000 a 1 noc v,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Pyral (35 mm),Ing. Kacian,Jan Kacian,1,6.5.1992,59,1702,-,-,-,mix,mix,,,,no,
NFA,p-100919,1000 a 1 noc vi,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Pyral (35 mm),Ing. Kacian,Jan Kacian,1,30.6.92,59,-,-,-,-,mix,mix,,,,no,
NFA,p-101208,1000 a 1 noc vi,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Pyral (35 mm),Ing. Kacian,Jan Kacian,2,30.6.1992,59,-,-,-,-,mix,mix,,,,no,
NFA,p-101041,1000 a 1 noc vi,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Kodak (35 mm),-,,1; 2,-,-,-,-,-,-,mix přepis,mix,přepis,,,no,
NFA,p-101073,1000 a 1 noc vii,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Pyral (35 mm),Ing. Kacian,Jan Kacian,2,30.6.92,59,-,-,-,-,mix,mix,,,,no,
NFA,p-101045,1000 a 1 noc vii,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Kodak (35 mm),-,,1,-,-,-,-,-,-,mix přepis,mix,přepis,,,no,
NFA,p-101205,1000 a 1 noc vii,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Pyral (35 mm),Ing. Kacian,Jan Kacian,1,30.6.1992,59,-,-,-,-,mix,mix,,,,no,
NFA,p-101043,1000 a 1 noc viii,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Kodak (35 mm),-,,1; 2,-,-,-,-,-,-,mix přepis,mix,přepis,,,no,
NFA,p-101206,1000 a 1 noc viii,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Pyral (35 mm),Ing. Kacian,Jan Kacian,2,24.8.1992,59,-,-,-,-,mix,mix,,,,no,
NFA,p-101470,1000 a 1 noc viii,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Pyral (35 mm),Ing. Kacian,Jan Kacian,1,24.8.92,59,-,-,-,-,mix,mix,,,,no,
NFA,p-100053,1000 a 1 noc x,Tisíc a jedna noc,Tisíc a jedna noc,paper box,35 mm,ORWO 207 LN,Kacian,Jan Kacian,1,15.1.93,59,-,-,-,-,mix,mix,,,,no,
NFA,p-100964,1000 a 1 noc x,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Pyral (35 mm),Ing. Kacian,Jan Kacian,2,15.1.93,59,-,-,-,-,mix,mix,,,,no,
NFA,p-101068,1000 a 1 noc xi,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Pyral (35 mm),Ing. Kacian,Jan Kacian,2,19.2.93,59,-,-,-,-,mix,mix,,,,no,
NFA,p-101203,1000 a 1 noc xi,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Pyral (35 mm),Ing. Kacian,Jan Kacian,1,19.2.1993,59,-,-,-,-,mix,mix,,,,no,
NFA,p-101044,1000 a 1 noc xii,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Kodak (35 mm),-,,1; 2,-,-,-,-,-,-,mix přepis,mix,přepis,,,no,
NFA,p-101075,1000 a 1 noc xii,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Pyral (35 mm),Ing. Kacian,Jan Kacian,1,8.4.93,-,-,-,-,-,mix,mix,,,,no,
NFA,p-101074,1000 a 1 noc xii,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Pyral (35 mm),Ing. Kacian,Jan Kacian,2,8.4.93,-,-,-,-,-,mix,mix,,,,no,
NFA,p-101281,1000 a 1 noc xiii,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Pyral (35 mm),Ing. Kacian,Jan Kacian,2,23.4.1993,-,-,-,-,-,mix,mix,,,,no,
NFA,p-101204,1000 a 1 noc xiii,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Pyral (35 mm),Ing. Kacian,Jan Kacian,1,23.4.1993,-,-,-,-,-,mix,mix,,,,no,
NFA,p-100963,1000 a 1 noc xiv,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Pyral (35 mm),Ing. Kacian,Jan Kacian,2,29.11.93,-,-,-,-,-,mix,mix,,,,no,
NFA,p-101465,1000 a 1 noc xiv,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Pyral (35 mm),Ing. Kacian,Jan Kacian,1,29.11.93,-,-,-,-,-,mix,mix,,,,no,
NFA,p-100471,1001 nacht,Tisíc a jedna noc,Tisíc a jedna noc,paper box,"17,5 mm",,-,,10,-,-,-,-,-,-,-,,,,,no,
MWA,P200023,1001 Nacht,Tisíc a jedna noc,Tisíc a jedna noc,paper box,"17,5 mm",Agfa MF 6 PE,-,,9,-,-,-,-,-,-,-,,,,,,
MWA,P200024,1001 Nacht,Tisíc a jedna noc,Tisíc a jedna noc,paper box,"17,5 mm",Agfa MF 6 PE,-,,11,-,-,-,-,-,-,-,,,,,,
MWA,P200025,1001 Nacht,Tisíc a jedna noc,Tisíc a jedna noc,paper box,"17,5 mm",Agfa MF 6 PE,-,,13,-,-,-,-,-,-,-,,,,,,
NFA,p-100545,1001 nacht,Tisíc a jedna noc,Tisíc a jedna noc,paper box,"17,5 mm",MF 6 PE,-,,11/I,-,-,-,-,-,-,-,,,,,no,
NFA,p-100538,1001 nacht,Tisíc a jedna noc,Tisíc a jedna noc,paper box,"17,5 mm",MF 6 PE,-,,13,-,-,-,-,-,-,-,,,,,no,
NFA,p-100542,1001 nacht,Tisíc a jedna noc,Tisíc a jedna noc,paper box,"17,5 mm",MF 6 PE,-,,13/I,-,-,-,-,-,-,-,,,,,no,
NFA,p-100469,1001 nacht,Tisíc a jedna noc,Tisíc a jedna noc,paper box,"17,5 mm",MF 6 PE,-,,9,-,-,-,-,-,-,-,,,,,no,
NFA,p-100467,1001 nacht,Tisíc a jedna noc,Tisíc a jedna noc,paper box,"17,5 mm",MF 6 PE,-,,14/I,-,-,-,-,-,-,-,,,,,no,
NFA,p-100452,1001 nacht,Tisíc a jedna noc,Tisíc a jedna noc,paper box,"17,5 mm",MF 6 PE,-,,14,-,-,-,-,-,-,-,,,,,no,
NFA,p-100539,1001 nacht,Tisíc a jedna noc,Tisíc a jedna noc,paper box,"17,5 mm",MF 6 PE,-,,11,-,-,-,-,-,-,-,,,,,no,
NFA,p-100543,1001 nacht,Tisíc a jedna noc,Tisíc a jedna noc,paper box,"17,5 mm",MF 6 PE,-,,12/I,-,-,-,-,-,-,-,,,,,no,
NFA,p-100252,1001 nacht (100252),Tisíc a jedna noc,Tisíc a jedna noc,paper box,"17,5 mm",MF 6 PE,-,,9,-,-,-,-,-,-,-,,,,,no,
NFA,p-100544,1001 nacht (100544),Tisíc a jedna noc,Tisíc a jedna noc,paper box,"17,5 mm",MF 6 PE,-,,10,-,-,-,-,-,-,-,,,,,no,
NFA,p-101364,3 dýňová semínka,3 dýňová semínka,Tři dýňová semínka,paper box,35 mm,ORWO 207 LN,ing. Kacian,Jan Kacian,-,4.12.90,3242,č.f. 426525,-,-,-,mezmix,mezinárodní pás,,,,no,
MWA,P203337,3 oříšky pro popelku,3 oříšky pro popelku,Tři oříšky pro Popelku,metal can,35 mm,ORWO,,#N/A,5;6,30.5.1973,,,Evropa,CPR I,,"mezinár. pás ruchy, vormix ruchy",mezinárodní pás,vormix,,ruchy,no,
MWA,P203338,3 oříšky pro popelku,3 oříšky pro popelku,Tři oříšky pro Popelku,metal can,35 mm,ORWO,,#N/A,7;8,30.5.1973,,,Evropa,CPR I,,mez. pás ruchy,mezinárodní pás,,,ruchy,no,
MWA,P202846,30 panen a Pythagoras,30 panen a Pythagoras,Třicet panen a Pythagoras,metal can,35 mm,ORWO,,#N/A,7;1,16.11.1973,,,Studio 2,CPR-I.,,mezinárodní pas hudba,mezinárodní pás,,,hudba,no,
MWA,P202261,30 Panen a Pythagoras,30 panen a Pythagoras,Třicet panen a Pythagoras,metal can,35 mm,,,#N/A,4,,,,Studio II,,,mezinárodní pás hudba bez zpěvu,mezinárodní pás,,,hudba; zpěv,yes,
MWA,P202847,30 panen a Pythagoras,30 panen a Pythagoras,Třicet panen a Pythagoras,metal can,35 mm,ORWO,,#N/A,5,,,,,,,mez. hudba I,magnetický záznam,,,hudba,no,
MWA,P204928,3x Sázka,3x Sázka,Sázka,paper box,16 mm,Orwo 205LN,Kacian,Jan Kacian,,7.11.1989,3282,,,16mm,,Mezmix,mezinárodní pás,,,,no,
MWA,P204938,40 let centrotexu,40 let centrotexu,40 1948 1988 CENTROTEX,paper box,16 mm,Orwo 205LN,Ing. Děták,Jaroslav Děták,2,2.3.1988,3281,,,,,Mezmix bez synchron,mezinárodní pás,,,,no,
MWA,P204487,6 bears / šest medvědů s cibulkou,6 bears / šest medvědů s cibulkou,6 medvědů s Cibulkou,metal can,35 mm,Orwo,,#N/A,7;9,15.5.1973,,,Přepisové studio,CPR I,,mix,mix,,,,no,
MWA,P204486,6 bears / šest medvědů s cibulkou,6 bears / šest medvědů s cibulkou,6 medvědů s Cibulkou,metal can,35 mm,Orwo,,#N/A,5;10,15.5.1973,,,Přepisové studio,CPR I,,mix,mix,,,,no,
MWA,P204484,6 bears / šest medvědů s cibulkou,6 bears / šest medvědů s cibulkou,6 medvědů s Cibulkou,metal can,35 mm,Orwo,,#N/A,2;7,15.5.1973,,,Přepisové studio,CPR I,,mix,mix,,,,no,
MWA,P204483,6 bears / šest medvědů s cibulkou,6 bears / šest medvědů s cibulkou,6 medvědů s Cibulkou,metal can,35 mm,Orwo,,#N/A,6;8,,,,,CPR I,,mix,mix,,,,no,
MWA,P204485,6 bears / šest medvědů s cibulkou,6 bears / šest medvědů s cibulkou,6 medvědů s Cibulkou,metal can,35 mm,Orwo,,#N/A,1;3,15.5.1973,,,Přepisové studio,CPR I,,mix,mix,,,,no,
MWA,P200356,A. Dvořák,A. Dvořák,Antonín Dvořák,Metal can,35 mm,,,#N/A,3,19.7.91,,,Evropa,,,mix,mix,,,,no,
MWA,P200339,A. Dvořák - SMAZÁNO?,A. Dvořák,Antonín Dvořák,Metal can,35 mm,,,#N/A,,17.7.97,,,Evropa,,,mix,mix,,,,no,
MWA,P200359,"A. Dvořák, SMAZANO","A. Dvořák, SMAZANO",Antonín Dvořák,Metal can,35 mm,,,#N/A,7,18.7.91,,,Evropa,,,mix,mix,,,,no,
MWA,P200349,"A. Dvořák, SMAZÁNO?","A. Dvořák, SMAZÁNO?",Antonín Dvořák,Metal can,35 mm,,,#N/A,10,18.7.91,,,,,,mix,mix,,,,no,
NFA,p-102162,Abba,Abba,Abba ve filmu,,"1/​4""",,-,,-,-,-,-,-,-,-,-,,,,,no,
NFA,p-101007,Ach schetlandy,Ach schetlandy,"Och, Shetlandy!",metal box,35 mm,ORWO 202,Ing. Astrug,Bejnamin Astrug,-,12.6.1978,3242,-,-,-,-,mezmix ,mezinárodní pás,,,,no,
NFA,p-100232,"Ach, ta hudba povznášející","Ach, ta hudba povznášející","Ach, ta povznášející hudba",metal box,35 mm,MB - ORWO (35 mm),Ing. Děták,Jaroslav Děták,-,21.12.87,3242,č.f. 425526,-,-,-,mix přepis=mezmix=mix,mezinárodní pás,přepis,,,no,
MWA,P201666,Adéla ještě nevečeřela,Adéla ještě nevečeřela,Adéla ještě nevečeřela,paper box,35 mm,Typ 202,,#N/A,5;6,3.2.1978,,,Studio II,CPR-I,,mez. pás ruchy,mezinárodní pás,,,ruchy,no,
MWA,P201667,Adéla ještě nevečeřela,Adéla ještě nevečeřela,Adéla ještě nevečeřela,paper box,35 mm,Typ 202,,#N/A,4,3.2.1978,,,Studio II,CPR-I,,mez. pás hudba,mezinárodní pás,,,hudba,no,
MWA,P204480,Adéla ještě nevečeřela,Adéla ještě nevečeřela,Adéla ještě nevečeřela,metal can,35 mm,Orwo 202,,#N/A,3;4,26.4.1983,,,Přepisové studio,CPR I,,Mezinárodní pás ruchy,mezinárodní pás,,,ruchy,no,
MWA,P204479,Adéla ještě nevečeřela,Adéla ještě nevečeřela,Adéla ještě nevečeřela,metal can,35 mm,Orwo 202,,#N/A,9;10,26.4.1983,,,Přepisové studio,CPR I,,Mezinárodní pás ruchy,mezinárodní pás,,,ruchy,no,
MWA,P201588,Adéla ještě nevečeřela,Adéla ještě nevečeřela,Adéla ještě nevečeřela,metal can,35 mm,,,#N/A,3,23.12.1977,,,Studio II,Ilford,,mezinárodní hudba,mezinárodní pás,,,hudba,no,
MWA,P201665,Adéla ještě nevečeřela,Adéla ještě nevečeřela,Adéla ještě nevečeřela,paper box,35 mm,Typ 202,,#N/A,11;12,3.2.1978,,,Studio II,CPR-I,,mez. pás ruchy,mezinárodní pás,,,ruchy,no,
MWA,P204111,Adéla ještě nevečeřela,Adéla ještě nevečeřela,Adéla ještě nevečeřela,metal can,35 mm,ORWO 202,,#N/A,3;4,26.4.1983,,,Přepisové studio,CPR I,,M.P. hudba,mezinárodní pás,,,hudba,no,
MWA,P204114,Adéla ještě nevečeřela,Adéla ještě nevečeřela,Adéla ještě nevečeřela,metal can,35 mm,ORWO 202,,#N/A,5;6,26.4.1983,,,Přepisové studio,CPR I,,M.P. ruchy,mezinárodní pás,,,ruchy,no,
MWA,P204113,Adéla ještě nevečeřela,Adéla ještě nevečeřela,Adéla ještě nevečeřela,metal can,35 mm,ORWO 202,,#N/A,1;2,26.4.1983,,,Přepisové studio,CPR I,,M.P. ruchy,mezinárodní pás,,,ruchy,no,
MWA,P204112,Adéla ještě nevečeřela,Adéla ještě nevečeřela,Adéla ještě nevečeřela,metal can,35 mm,ORWO 202,,#N/A,7;8,26.4.1983,,,Přepisové studio,CPR I,,M.P. ruchy,mezinárodní pás,,,ruchy,no,
MWA,P204481,Adéla ještě nevečeřela,Adéla ještě nevečeřela,Adéla ještě nevečeřela,metal can,35 mm,Orwo 202,,#N/A,7;9,26.4.1983,,,Přepisové studio,CPR I,,Mezinárodní pás hudba + zpěv,mezinárodní pás,,,hudba; zpěv,yes,
MWA,P204110,Adéla ještě nevečeřela,Adéla ještě nevečeřela,Adéla ještě nevečeřela,metal can,35 mm,ORWO 202,,#N/A,1;2,26.4.1983,,,Přepisové studio,CPR I,,M.P. hudba,mezinárodní pás,,,hudba,no,
MWA,P204109,Adéla ještě nevečeřela,Adéla ještě nevečeřela,Adéla ještě nevečeřela,metal can,35 mm,ORWO 202,,#N/A,5;6,26.4.1983,,,Přepisové studio,CPR I,,M.P. hudba,mezinárodní pás,,,hudba,no,
MWA,P204108,Adéla ještě nevečeřela,Adéla ještě nevečeřela,Adéla ještě nevečeřela,metal can,35 mm,ORWO 202,,#N/A,11;12,26.4.1983,,,Přepisové studio,CPR I,,M.P. ruchy,mezinárodní pás,,,ruchy,no,
MWA,P204107,Adéla ještě nevečeřela,Adéla ještě nevečeřela,Adéla ještě nevečeřela,metal can,35 mm,ORWO 202,,#N/A,9;10,26.4.1983,,,Přepisové studio,CPR I,,M.P. hudba,mezinárodní pás,,,hudba,no,
MWA,P204106,Adéla ještě nevečeřela,Adéla ještě nevečeřela,Adéla ještě nevečeřela,metal can,35 mm,ORWO,,#N/A,7;8,26.4.1983,,,Přepisové studio,CPR I,,M.P. hudba,mezinárodní pás,,,hudba,no,
MWA,P204105,Adéla ještě nevečeřela,Adéla ještě nevečeřela,Adéla ještě nevečeřela,metal can,35 mm,ORWO,,#N/A,3;4,26.4.1983,,,Přepisové studio,CPR I,,M.P. hudba + zpěv,mezinárodní pás,,,hudba; zpěv,yes,
MWA,P204104,Adéla ještě nevečeřela,Adéla ještě nevečeřela,Adéla ještě nevečeřela,metal can,35 mm,ORWO,,#N/A,11,26.4.1983,,,Přepisové studio,CPR I,,M.P. hudba + zpěv,mezinárodní pás,,,hudba; zpěv,yes,
MWA,P201664,Adéla ještě nevečeřela,Adéla ještě nevečeřela,Adéla ještě nevečeřela,paper box,35 mm,Typ 202,,#N/A,3;4,3.2.1978,,,Studio II,CPR-I,,mez. pás ruchy,mezinárodní pás,,,ruchy,no,
MWA,P204482,Adéla ještě nevečeřela,Adéla ještě nevečeřela,Adéla ještě nevečeřela,metal can,35 mm,Orwo 202,,#N/A,11;12,26.4.1983,,,Přepisové studio,CPR I,,M.P. hudba,mezinárodní pás,,,hudba,no,
MWA,P201663,Adéla ještě nevečeřela,Adéla ještě nevečeřela,Adéla ještě nevečeřela,paper box,35 mm,Typ 202,,#N/A,9,3.2.1978,,,St. II,CPR-I,,"mez. pás hudba, hudba bez zpěvu",mezinárodní pás,,,hudba; zpěv,yes,
MWA,P202146,Adéla ještě nevečeřela,Adéla ještě nevečeřela,Adéla ještě nevečeřela,metal can,35 mm,ORWO,,#N/A,7,3.11.1978,,,Studio II,,,mez. pás hudba bez zpěvu,mezinárodní pás,,,hudba; zpěv,yes,
MWA,P201610,Adéla ještě nevečeřela,Adéla ještě nevečeřela,Adéla ještě nevečeřela,metal can,35 mm,,,#N/A,2,15.12.1977,,,Studio II,Ilford,,m.p. hudba,mezinárodní pás,,,hudba,no,
MWA,P202159,Adéla ještě nevečeřela,Adéla ještě nevečeřela,Adéla ještě nevečeřela,metal can,35 mm,,Ing. J. Lenoch,Jiří Lenoch,1,15.12.1977,,,Studio II,Ilford 35,,mez. pás hudby,mezinárodní pás,,,,no,
MWA,P201611,Adéla ještě nevečeřela,Adéla ještě nevečeřela,Adéla ještě nevečeřela,metal can,35 mm,,,#N/A,10,20.12.1977,,,Studio II,Ilford,,mez. pás hudba,mezinárodní pás,,,hudba,no,
MWA,P201612,Adéla ještě nevečeřela,Adéla ještě nevečeřela,Adéla ještě nevečeřela,metal can,35 mm,,,#N/A,8,20.12.1977,,,Studio II,Ilford I.,,mezinárodní pás hudby,mezinárodní pás,,,,no,
MWA,P202047,Adéla ještě nevečeřela,Adéla ještě nevečeřela,Adéla ještě nevečeřela,metal can,35 mm,,,#N/A,7,19.12.1977,,,Studio II,Ilford,,mezinárodní hudba se zpěvem,mezinárodní pás,,,hudba; zpěv,yes,
MWA,P201596,Adéla ještě nevečeřela,Adéla ještě nevečeřela,Adéla ještě nevečeřela,metal can,35 mm,,,#N/A,6,23.12.1977,,,Studio II,Ilford,,mezinárodní hudba,mezinárodní pás,,,hudba,no,
MWA,P203495,Adéla ještě nevečeřela,Adéla ještě nevečeřela,Adéla ještě nevečeřela,metal can,35 mm,,,#N/A,,"3.2.1978, 20.7.1977",,,Studio II,CPR I,,"mez. pás, hudba",mezinárodní pás,,,hudba,no,
MWA,P201590,Adéla ještě nevečeřela,Adéla ještě nevečeřela,Adéla ještě nevečeřela,metal can,35 mm,,,#N/A,3,23.12.1977,,,Studio II,Ilford,,mezinárodní hudba,mezinárodní pás,,,hudba,no,
MWA,P201613,Adéla ještě nevečeřela,Adéla ještě nevečeřela,Adéla ještě nevečeřela,metal can,35 mm,,,#N/A,11,21.12.1977,,,Studio II,Ilford I.,,mezinárodní hudba,mezinárodní pás,,,hudba,no,
MWA,P202073,Adéla ještě nevečeřela,Adéla ještě nevečeřela,Adéla ještě nevečeřela,paper box,35 mm,ORWO typ 202,,#N/A,1;2,3.2.1978,,,Studio II,CPR I.,,Mez. pás ruchy,mezinárodní pás,,,ruchy,no,
MWA,P202074,Adéla ještě nevečeřela,Adéla ještě nevečeřela,Adéla ještě nevečeřela,paper box,35 mm,ORWO typ 202,,#N/A,7;8,3.2.1978,,,Studio II,CPR I.,,Mez. pás ruchy,mezinárodní pás,,,ruchy,no,
MWA,P202075,Adéla ještě nevečeřela,Adéla ještě nevečeřela,Adéla ještě nevečeřela,paper box,35 mm,ORWO typ 202,,#N/A,9;10,3.2.1978,,,Studio II,CPR I.,,Mez. pás ruchy,mezinárodní pás,,,ruchy,no,
MWA,P202131,Adéla ještě nevečeřela,Adéla ještě nevečeřela,Adéla ještě nevečeřela,metal can,35 mm,,,#N/A,12,22.12.1977,,,Studio II.,Zonal - Ilford,,mez. mix hudba,mezinárodní pás,,,hudba,no,
MWA,P202145,Adéla ještě nevečeřela,Adéla ještě nevečeřela,Adéla ještě nevečeřela,metal can,35 mm,,,#N/A,4,16.12.1977,,,Studio II,Ilford,,mez. pás hudba se zpěvem,mezinárodní pás,,,hudba; zpěv,yes,
MWA,P201614,Adéla ještě nevečeřela,Adéla ještě nevečeřela,Adéla ještě nevečeřela,metal can,35 mm,,,#N/A,9,20.12.1977,,,Studio II,Ilford,,mezinárodní hudba,mezinárodní pás,,,hudba,no,
MWA,P202072,Adéla ještě nevečeřela,Adéla ještě nevečeřela,Adéla ještě nevečeřela,paper box,35 mm,ORWO typ 202,,#N/A,11,?.4.1978,,,Studio II,CPR I.,,"mez. pás hudba, bez zpěvu",mezinárodní pás,,,hudba; zpěv,yes,
MWA,P201597,Adéla ještě nevečeřela,Adéla ještě nevečeřela,Adéla ještě nevečeřela,metal can,35 mm,,,#N/A,5,14.12.1977,,,Studio II,ZONAL-Ilford,,"hudba, mezinárodní pás",mezinárodní pás,,,hudba,no,
MWA,P202464,"Afghanistan (Země, kam přichází čas)",Afghanistan,Afghánistán,metal can,35 mm,,,#N/A,1,,,,,,,,,,,,,
MWA,P204979,Africká řemesla,Africká řemesla,Africká řemesla,paper box,16 mm,"Racal, RZ 812",Ing. Kacian,Jan Kacian,,13.12.1989,3220,208701,,zvuk 16,,Mezmix,mezinárodní pás,,,,no,
NFA,p-100540,Akorát,Akorát,Akorát,paper box,"1/​4""",LGR 30 P,-,,-,28.10.1977,-,-,-,-,-,mono,magnetický záznam,,mono,,no,
NFA,p-100423,Alternativa,Alternativa,Alternativa?,paper box,"1/​4""",Agfa PER 525,-,,-,5.9.1979,-,-,-,-,-,-,,,,,no,
MWA,P203868,Anděl s ďáblem v těle,Anděl s ďáblem v těle,Anděl s ďáblem v těle,metal can,35 mm,,,#N/A,9,9.8.,,,,,,mix,mix,,,,no,
MWA,P203869,Anděl s ďáblem v těle,Anděl s ďáblem v těle,Anděl s ďáblem v těle,metal can,35 mm,,,#N/A,7,9.8.1983,,,Evropa,Ilford,,mix,mix,,,,no,
MWA,P203867,Anděl s ďáblem v těle,Anděl s ďáblem v těle,Anděl s ďáblem v těle,metal can,35 mm,,,#N/A,1,2.8.,,,Evropa,Ilford,,mix,mix,,,,no,
MWA,P203866,Anděl s ďáblem v těle,Anděl s ďáblem v těle,Anděl s ďáblem v těle,metal can,35 mm,,,#N/A,6,8.8.,,,Evropa,Ilford,,mix,mix,,,,no,
MWA,P203863,Anděl s ďáblem v těle,Anděl s ďáblem v těle,Anděl s ďáblem v těle,metal can,35 mm,,,#N/A,,10.8.,,,Evropa,CPR -I,,mix,mix,,,,no,
MWA,P203862,Anděl s ďáblem v těle,Anděl s ďáblem v těle,Anděl s ďáblem v těle,metal can,35 mm,,,#N/A,8,9.8.1987,,,Evropa,Ilford,,mix,mix,,,,no,
MWA,P203865,Anděl s ďáblem v těle,Anděl s ďáblem v těle,Anděl s ďáblem v těle,metal can,35 mm,,,#N/A,5,5.8.,,,Evropa,Ilford 35,,mix,mix,,,,no,
MWA,P203864,Anděl s ďáblem v těle,Anděl s ďáblem v těle,Anděl s ďáblem v těle,metal can,35 mm,,,#N/A,11,10.8.1983,,,Evropa,Ilford,,mix,mix,,,,no,
MWA,P203870,Anděl s ďáblem v těle,Anděl s ďáblem v těle,Anděl s ďáblem v těle,metal can,35 mm,,,#N/A,10,10.8.1983,,,Evropa,Ilford,,mix,mix,,,,no,
