zvuk / sound (on box)
A. Kravka
A. Nacházel
"Ant. Kravka, ing. Ivo Špalj"
Brostík
Bureš
Böhm
Celba
Chalupský
"D, Šrámek"
D. Taragel
D. Šrámek
Dienst
F. Černý
Ficek
Fořt
Fr. Fabián
I. Zadražilová
Ing. A. Kajzar
Ing. A. Vrbata
Ing. Cajthaml
Ing. Děták
Ing. Děták/ A. Dětáková
Ing. E. Pledník
Ing. Ivo Špalj
Ing. Jakl
Ing. Kacián
Ing. Karel Jaroš
Ing. Kocián
Ing. Pavel Jelínek
Ing. Petrášek
Ing. Polednik
Ing. Tomáš Janeček
J.V. Renč
Jan Rychlik + Pololánik
"Jan Rychlík, Pololánik"
Jiří Hora
Jiří Kříž
Jiří Moudrý
Jiří Pavlík
"Jiří Pavlík, ing. Jiří Lenoch"
Josef Vlček
K. Jares
Kacian - Mikulík
"Kacian, Mikulík"
Kacián – Mikulík
Kafková
Kejř
Kejř-Hora
Kolafa
Krutský
Kulich
Kulici
Kulí
L. Hausdorf
L. Turek
Lebduška
Löper
M. Hůrka
Maden
Moudrý + Skill
"P. Jelínek, Potůček"
Patrick Steiner
Pavlík J.
Pojar
Richter
Roman Hloch
Růžek
Skoumal
Strangmüller
Trnka st.
V. Skall
Viklický
Vondráček Václav
Voráček
Václav Vondráček
Z. Hader
Zd. John
Zemanová
Zimermann
ing. Astrug
ing. Jiři Lenoch
ing. Špals
"p, Mader"
p. Formáček
p. Mader
p. Sedláček
pí. Lebdušková
s. Lebduškorá
stř. I. Zdražilová
stř. Sádková
Šimečka
