Kanonický název
ing. Astrug
Brostík
Bureš
Böhm
Ing. Cajthaml
Celba
Chalupský
"D, Šrámek"
Dienst
Ing. Děták
Ing. Děták/ A. Dětáková
Fr. Fabián
Ficek
p. Formáček
Fořt
Z. Hader
L. Hausdorf
Roman Hloch
Jiří Hora
M. Hůrka
Pavlík J.
Ing. Jakl
Ing. Tomáš Janeček
K. Jares
Ing. Karel Jaroš
Ing. Pavel Jelínek
"P. Jelínek, Potůček"
Zd. John
"Kacian, Mikulík"
Kacian - Mikulík
Ing. Kacián
Kacián – Mikulík
Kafková
Ing. A. Kajzar
Kejř
Kejř-Hora
Ing. Kocián
Kolafa
A. Kravka
"Ant. Kravka, ing. Ivo Špalj"
Krutský
Kulich
Kulici
Kulí
Jiří Kříž
Lebduška
s. Lebduškorá
pí. Lebdušková
ing. Jiři Lenoch
Löper
Maden
p. Mader
Jiří Moudrý
Moudrý + Skill
A. Nacházel
Jiří Pavlík
"Jiří Pavlík, ing. Jiří Lenoch"
Ing. Petrášek
Ing. E. Pledník
Pojar
Ing. Polednik
J.V. Renč
Richter
Jan Rychlik + Pololánik
"Jan Rychlík, Pololánik"
Růžek
p. Sedláček
V. Skall
Skoumal
Patrick Steiner
Strangmüller
stř. Sádková
D. Taragel
L. Turek
Viklický
Josef Vlček
Václav Vondráček
Voráček
Ing. A. Vrbata
Vondráček Václav
I. Zadražilová
stř. I. Zdražilová
Zemanová
Zimermann
"p, Mader"
Trnka st.
F. Černý
Šimečka
Ing. Ivo Špalj
ing. Špals
D. Šrámek
